error=0.6826058048688814, alpha=1.4314515559566128Boosting round: 69, Accuracy: 0.4204
error=0.6745550427968721, alpha=1.4683646447399743Boosting round: 70, Accuracy: 0.4189
error=0.6617265845828876, alpha=1.5262266107732014Boosting round: 71, Accuracy: 0.4183
error=0.7024985174270332, alpha=1.3380004949665083Boosting round: 72, Accuracy: 0.4185
error=0.6569572014990176, alpha=1.5474609196412388Boosting round: 73, Accuracy: 0.4194
error=0.6477815196537583, alpha=1.5879227647196723Boosting round: 74, Accuracy: 0.4209
error=0.6758752193964087, alpha=1.4623446719935134Boosting round: 75, Accuracy: 0.4241
error=0.6461915264935162, alpha=1.5948843682841496Boosting round: 76, Accuracy: 0.4256
error=0.6785821722519885, alpha=1.449960917496347Boosting round: 77, Accuracy: 0.4258
error=0.6538212394530653, alpha=1.56134588803141Boosting round: 78, Accuracy: 0.4235
error=0.6909963643249526, alpha=1.3924430578185374Boosting round: 79, Accuracy: 0.4268
error=0.6581948423595578, alpha=1.5419644370472625Boosting round: 80, Accuracy: 0.4248
error=0.6797164690726689, alpha=1.44475546100812Boosting round: 81, Accuracy: 0.4247
error=0.6763981362416138, alpha=1.4599566603430865Boosting round: 82, Accuracy: 0.4272
error=0.6956727601183584, alpha=1.3704487692428595Boosting round: 83, Accuracy: 0.4275
error=0.6665633683279937, alpha=1.5045422032983653Boosting round: 84, Accuracy: 0.4296
error=0.6886999683806684, alpha=1.403176039716641Boosting round: 85, Accuracy: 0.431
error=0.6830459806268708, alpha=1.4294191125298794Boosting round: 86, Accuracy: 0.4276
error=0.6739772689462434, alpha=1.4709952986863235Boosting round: 87, Accuracy: 0.4285
error=0.6522986047996474, alpha=1.5680661890915106Boosting round: 88, Accuracy: 0.4277
error=0.6947502279342735, alpha=1.3748025469097702Boosting round: 89, Accuracy: 0.4301
error=0.6690510701465237, alpha=1.493328255085116Boosting round: 90, Accuracy: 0.4284
error=0.6835533803096334, alpha=1.4270743949374038Boosting round: 91, Accuracy: 0.4283
error=0.6552721998625599, alpha=1.554928976227901Boosting round: 92, Accuracy: 0.4265
error=0.6666483742736672, alpha=1.5041597114155192Boosting round: 93, Accuracy: 0.4287
error=0.6869208619640471, alpha=1.4114614811546327Boosting round: 94, Accuracy: 0.4277
error=0.6805827005218386, alpha=1.4407736303118668Boosting round: 95, Accuracy: 0.4285
error=0.6600398327666823, alpha=1.5337528470109827Boosting round: 96, Accuracy: 0.4288
error=0.6669276554723333, alpha=1.502902717082037Boosting round: 97, Accuracy: 0.4305
error=0.6914892085056353, alpha=1.3901338555405947Boosting round: 98, Accuracy: 0.4308
error=0.6655346799209596, alpha=1.5091670270826776Boosting round: 99, Accuracy: 0.4284
error=0.6805353098060918, alpha=1.4409916204436242Boosting round: 100, Accuracy: 0.4306
error=0.6725803500025457, alpha=1.4773456748940887Boosting round: 101, Accuracy: 0.4305
error=0.6640380917132929, alpha=1.5158828478093405Boosting round: 102, Accuracy: 0.4293
error=0.6692321052618713, alpha=1.4925105388369233Boosting round: 103, Accuracy: 0.4299
error=0.6847218804138742, alpha=1.4216670041170147error=0.50712, alpha=2.1687426520666238Boosting round: 1, Accuracy: 0.3292
error=0.43750647459290243, alpha=2.448512696203512Boosting round: 2, Accuracy: 0.2341
error=0.32638828280295634, alpha=2.9217907108314325Boosting round: 3, Accuracy: 0.3031
error=0.2729507453330004, alpha=3.1769274442666924Boosting round: 4, Accuracy: 0.2972
error=0.3355125639344158, alpha=2.8805811438609763Boosting round: 5, Accuracy: 0.3325
error=0.2689214133546938, alpha=3.197326343721693Boosting round: 6, Accuracy: 0.329
error=0.2652479187362138, alpha=3.2160927842061318Boosting round: 7, Accuracy: 0.3421
error=0.3048368016901784, alpha=3.021594656070331Boosting round: 8, Accuracy: 0.3411
error=0.2732421354756631, alpha=3.175459592997951Boosting round: 9, Accuracy: 0.3514
error=0.27451350849242157, alpha=3.16906655892045Boosting round: 10, Accuracy: 0.3516
error=0.28092895561173137, alpha=3.1370829298103757Boosting round: 11, Accuracy: 0.3613
error=0.2533557440173821, alpha=3.2780188148316283Boosting round: 12, Accuracy: 0.3578
error=0.2720625265912527, alpha=3.181407816617496Boosting round: 13, Accuracy: 0.3648
error=0.2922363756419545, alpha=3.081771770965461Boosting round: 14, Accuracy: 0.3673
error=0.27769611377262554, alpha=3.153143122851465Boosting round: 15, Accuracy: 0.3696
error=0.279269946217336, alpha=3.1453103760060492Boosting round: 16, Accuracy: 0.3756
error=0.2889135802487988, alpha=3.0978909334070694Boosting round: 17, Accuracy: 0.3786
